,accommodates,bathrooms,bedrooms,beds,guests_included,availability_30,number_of_reviews,number_of_reviews_ltm,review_scores_cleanliness,review_scores_location,reviews_per_month,price,has_availability,host_response_rate,instant_bookable,cancellation_policy,security_deposit,host_is_superhost,host_name,host_location,host_neighbourhood,property_type,neighbourhood,host_verifications,host_response_time,room_type,extra_people,zipcode
8087,3,1.0,2.0,2.0,1,0,66,53,10.0,10.0,4.28,90.0,0,1,1,0,0,1,481,126,38,1,1,92,3,0,0,24
8088,6,2.0,2.0,4.0,1,0,6,3,9.0,10.0,0.41,120.0,0,1,1,3,46,0,183,126,28,1,12,122,3,0,0,24
8089,2,1.0,1.0,1.0,1,0,9,6,10.0,10.0,0.72,75.0,0,1,0,3,33,0,307,126,39,1,1,130,3,0,0,24
8090,4,1.0,1.0,2.0,1,7,54,38,10.0,10.0,3.39,30.0,0,45,1,3,0,1,1064,126,37,16,1,126,3,0,20,22
8091,4,1.0,1.0,1.0,2,4,42,21,10.0,9.0,2.58,75.0,0,1,1,3,9,1,1053,126,39,1,0,33,3,0,6,35
8092,3,1.0,1.0,1.0,2,6,8,2,10.0,10.0,0.49,49.0,0,1,1,3,21,1,1053,126,39,1,0,33,3,0,1,35
8093,6,3.0,3.0,3.0,2,17,10,8,10.0,9.0,0.65,160.0,0,1,0,3,46,1,1140,126,31,1,1,124,3,0,20,59
8094,8,1.0,2.0,4.0,4,4,108,74,9.0,10.0,6.64,140.0,0,1,1,3,0,0,138,51,37,1,1,126,3,0,8,22
8095,5,1.0,1.0,3.0,1,1,4,1,10.0,10.0,0.25,80.0,0,1,1,3,46,0,181,126,37,1,1,122,3,0,0,22
8096,8,4.0,4.0,5.0,4,2,33,20,9.0,10.0,2.13,89.0,0,40,1,0,82,0,134,126,39,14,1,126,3,0,1,22
8097,3,1.0,1.0,2.0,2,11,18,14,9.0,9.0,1.18,50.0,0,46,1,3,9,0,691,166,18,1,1,130,3,0,4,59
8098,9,2.0,3.0,7.0,1,4,22,16,8.0,10.0,1.47,190.0,0,1,1,4,0,0,508,126,37,1,1,125,3,0,0,24
8099,4,1.0,1.0,2.0,2,1,86,72,10.0,10.0,5.76,100.0,0,1,1,3,33,1,108,126,37,1,11,118,3,0,20,22
8100,4,2.0,2.0,3.0,1,0,0,0,10.0,10.0,1.46,120.0,0,37,0,4,8,0,43,126,36,1,9,31,2,0,0,35
8101,5,1.0,2.0,2.0,2,6,7,7,10.0,10.0,0.95,70.0,0,1,1,0,0,0,21,126,12,1,2,170,3,0,15,26
8102,4,1.0,1.0,1.0,2,17,10,10,9.0,10.0,0.95,80.0,0,1,1,4,0,1,855,166,34,1,13,92,3,0,15,28
8103,2,1.0,1.0,1.0,1,21,4,0,10.0,10.0,0.24,65.0,0,1,1,0,0,0,814,126,26,7,4,170,3,2,41,43
8104,2,1.0,1.0,1.0,1,28,0,0,10.0,10.0,1.46,290.0,0,1,0,0,0,0,382,166,32,1,1,90,3,0,0,24
8105,4,1.5,2.0,2.0,1,0,2,2,9.0,8.0,0.62,100.0,0,1,1,3,46,0,183,126,28,1,9,122,3,0,0,35
8106,2,1.0,1.0,2.0,2,0,16,6,10.0,9.0,0.99,38.0,0,1,1,0,0,1,1795,126,39,1,0,187,3,2,8,41
8107,4,1.0,2.0,2.0,1,0,7,0,9.0,10.0,0.44,81.0,0,1,0,0,0,0,1416,126,39,1,13,124,3,0,0,26
8108,5,1.0,0.0,3.0,1,0,0,0,10.0,10.0,1.46,79.0,0,1,1,3,46,0,181,126,37,1,11,122,3,0,0,22
8109,2,1.0,1.0,1.0,2,11,57,57,10.0,9.0,4.78,40.0,0,1,1,3,0,1,107,178,12,7,2,168,3,2,15,30
8110,2,1.0,1.0,1.0,1,21,2,0,9.0,9.0,0.12,75.0,0,1,1,0,0,0,814,126,26,7,4,170,3,2,0,43
8111,6,1.0,2.0,6.0,2,2,75,31,10.0,9.0,4.63,69.0,0,1,0,0,0,0,50,166,38,1,12,115,3,0,15,59
8112,2,1.0,1.0,1.0,1,3,32,22,10.0,9.0,2.01,43.0,0,1,1,0,0,1,1213,126,14,1,3,185,3,2,0,57
8113,4,1.0,2.0,2.0,2,0,4,4,9.0,10.0,1.28,120.0,0,1,1,3,0,1,1670,126,6,1,0,125,3,0,15,39
8114,2,1.0,1.0,1.0,1,2,6,5,10.0,10.0,0.42,65.0,0,37,0,0,40,0,366,125,28,1,13,125,3,0,0,28
8115,1,1.0,0.0,1.0,1,29,1,0,8.0,10.0,0.07,65.0,0,1,1,3,57,0,305,126,34,1,1,125,3,0,0,22
8116,2,1.0,1.0,2.0,1,0,16,11,10.0,10.0,1.0,58.0,0,1,1,0,0,0,50,166,39,1,13,170,3,2,0,28
8117,4,1.0,1.0,2.0,4,4,39,30,9.0,10.0,2.55,75.0,0,1,1,3,0,1,659,227,39,16,1,92,3,0,4,22
8118,3,1.0,1.0,2.0,1,11,36,24,9.0,9.0,2.25,50.0,0,1,1,0,0,0,237,126,31,1,7,124,3,0,40,59
8119,2,1.0,0.0,1.0,1,0,11,9,10.0,10.0,0.88,65.0,0,37,0,3,40,0,366,125,28,1,13,125,3,0,0,28
8120,6,2.0,3.0,3.0,1,27,0,0,10.0,10.0,1.46,280.0,0,1,0,0,1,0,237,206,12,23,2,165,3,0,0,28
